,Units,Location,Direction,Theta_0,Theta_1,Family,Blocks,Comment
B.20.22.001,ft2,2--3,"1,2",2430,0.6,lognormal,81,"B2022.001    Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.20.22.001,ft2,1,"1,2",874.8,0.9,lognormal,29,"B2022.001    Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B.30.11.011,ft2,roof,0,2187,1.3,lognormal,21,"B3011.011    Concrete tile roof, tiles secured and compliant with UBC94"
C.10.11.001a,ft,2--3,"1,2",810,0.2,lognormal,8,"C1011.001a    Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.10.11.001a,ft,1,"1,2",226.8,0.4,lognormal,2,"C1011.001a    Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C.20.11.001b,ea,1--3,"1,2",1.6,0.2,lognormal,,C2011.001b    Prefabricated steel stair with steel treads and landings with no seismic joint.
C.30.11.001a,ft,2--3,"1,2",61.2,0.7,lognormal,2,"C3011.001a    Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Fixed Above"
C.30.11.001a,ft,1,"1,2",82.2,0.9,lognormal,3,"C3011.001a    Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Fixed Above"
C.30.27.001,ft2,2--3,0,6075,0.2,lognormal,,"C3027.001    Raised Access Floor, non seismically rated."
C.30.27.001,ft2,1,0,1215,0.2,lognormal,,"C3027.001    Raised Access Floor, non seismically rated."
C.30.32.001a,ft2,3,0,8100,0.1,lognormal,13,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only"
C.30.32.001a,ft2,2,0,8100,0.1,lognormal,13,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only"
C.30.32.001a,ft2,1,0,8100,0.1,lognormal,13,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only"
C.30.34.001,ea,1--2,0,243,0.6,lognormal,9,C3034.001    Independent Pendant Lighting - non seismic
C.30.34.001,ea,3,0,243,0.6,lognormal,9,C3034.001    Independent Pendant Lighting - non seismic
D.10.14.011,ea,1,0,1,,,,"D1014.011    Traction Elevator – Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later."
D.20.21.011a,ft,2--3,0,340.2,0.7,lognormal,1,"D2021.011a    Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC A or B, PIPING FRAGILITY"
D.20.21.011a,ft,1,0,262.4,0.9,lognormal,1,"D2021.011a    Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC A or B, PIPING FRAGILITY"
D.30.31.011a,ea,roof,0,1,0.1,lognormal,,D3031.011a    Chiller - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only
D.30.31.021a,ea,roof,0,1,0.1,lognormal,,D3031.021a    Cooling Tower - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only
D.30.41.011a,ft,1--3,0,607.5,0.2,lognormal,1,"D3041.011a    HVAC Galvanized Sheet Metal Ducting less than 6 sq. ft in cross sectional area, SDC A or B"
D.30.41.012a,ft,1--3,0,162,0.2,lognormal,1,"D3041.012a    HVAC Galvanized Sheet Metal Ducting -  6 sq. ft cross sectional area or greater, SDC A or B"
D.30.41.031a,ea,1--3,0,72.9,0.5,lognormal,73,"D3041.031a    HVAC Drops / Diffusers in suspended ceilings - No independent safety wires, SDC A or B"
D.30.41.041a,ea,1--3,0,56.7,0.7,lognormal,7,"D3041.041a    Variable Air Volume (VAV) box with in-line coil, SDC A or B"
D.30.52.011a,ea,roof,0,4,0.2,lognormal,4,D3052.011a    Air Handling Unit - Capacity: <5000 CFM - Unanchored equipment that is not vibration isolated - Equipment fragility only
D.40.11.021a,ft,1--3,0,1620,0.1,lognormal,2,"D4011.021a    Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - No bracing, SDC A or B, PIPING FRAGILITY"
D.40.11.031a,ea,1--3,0,72.9,0.2,lognormal,73,"D4011.031a    Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC A or B"
D.50.12.013a,ea,all,0,1,0.5,lognormal,,D5012.013a    Motor Control Center - Capacity: all - Unanchored equipment that is not vibration isolated - Equipment fragility only
D.50.12.021a,AP,all,0,4.9,0.4,lognormal,,D5012.021a    Low Voltage Switchgear - Capacity: 100 to <350 Amp - Unanchored equipment that is not vibration isolated - Equipment fragility only
E.20.22.102a,ea,2--3,0,16.2,0.6,lognormal,17,"E2022.102a    Bookcase, 2 shelves, unanchored laterally"
E.20.22.102a,ea,1,0,3.2,0.6,lognormal,3,"E2022.102a    Bookcase, 2 shelves, unanchored laterally"
E.20.22.112a,ea,2--3,0,6.5,0.6,lognormal,7,"E2022.112a    Vertical Filing Cabinet, 2 drawer, unanchored laterally"
E.20.22.112a,ea,1,0,1.3,0.6,lognormal,2,"E2022.112a    Vertical Filing Cabinet, 2 drawer, unanchored laterally"
excessiveRID,ea,all,"1,2",1,,,,Excessive residual drift
irreparable,ea,0,1,1,,,,Irreparable building
collapse,ea,0,1,1,,,,Collapsed building
