,B,C,D,E
count,998.0,998.0,998.0,998.0
mean,262320.216605705,745980.0070855847,635123.9290082725,6992.145195962473
std,136425.06346412026,89970.26897345306,135761.45337129952,3245.0558821475083
min,25518.11479138934,517352.1937343118,354358.256714619,2142.5703965999905
25%,180078.85706625364,684753.355802737,540641.0352433994,4827.062779573441
50%,242751.30844977265,737710.7331821132,614082.4242468934,6263.135178188729
75%,313741.49791701837,802074.9177883535,704605.2115905364,8234.87680574229
max,1750207.9364933998,1171940.805831763,1539201.066242848,33031.749062955714
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,1.4796855805379172,56231.00165646484,112986.66474916741,6906.329072699951
std,46.79176655408332,14198.063125673598,47922.034396447634,3211.698897643711
min,0.0,22247.321152888235,0.0,2310.3310500698744
25%,0.0,46676.30202671124,78265.35071991586,4703.036642344714
50%,0.0,54413.4599378235,111002.53623017525,6178.034456689411
75%,0.0,63859.53136466804,145598.45106982,8453.60134546728
max,1479.6855805379173,143037.99088092195,286982.2923885949,31277.71290128869
count,1000.0,1000.0,1000.0,1000.0
mean,1.8280508959574362,19407.40451954805,129835.71726758865,6710.4968842994
std,49.37534210531517,9266.80208380652,49046.322862107576,3007.8907441692195
min,0.0,3259.391347153437,6074.913945457847,2029.5602924583204
25%,0.0,13142.473696337309,95011.5313433565,4569.053217799561
50%,0.0,18224.32321286088,127646.56912770557,5991.769909943206
75%,0.0,23473.446779861722,164563.1296834422,8024.123456051394
max,1533.6798736797548,117841.3185645965,345338.08259993093,26945.586328520454
count,189.0,189.0,189.0,189.0
mean,1633326.2806329888,709884.658190486,491779.3387587146,8003.24574036582
std,183567.3480053437,71937.34320618754,105883.95871162823,3435.7480137739285
min,1156930.746784044,534829.3476201835,284328.25284206844,2979.8561083905533
25%,1511314.987244288,662412.3861589875,427590.46790799825,5292.272440017938
50%,1639270.3053127518,709904.4029034299,484984.4977280807,7435.376241885874
75%,1759477.7389188572,748763.1931464333,543213.4595557989,9802.664956285955
max,2228254.1877856036,936842.9360628447,1374085.5596657784,23549.058030349835
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,2622.439801540139,16195.54559629027,7229.507643496345
std,0.0,2856.319036724744,28617.256531157673,3533.882143353323
min,0.0,0.0,0.0,1773.596863250787
25%,0.0,823.6089091984325,0.0,4868.278598220757
50%,0.0,1944.4433369897647,0.0,6405.283568060913
