,B,C,D,E
count,1000.0,1000.0,1000.0,1000.0
mean,76483.58811098059,329996.3214651611,361692.6795411714,6269.543811844964
std,85153.36610297869,77328.02743137453,69278.97775040707,2741.9770750699427
min,4081.5128439101118,176043.41233348614,192240.69106204432,1680.4839005300225
25%,32904.03166092925,281055.5196314161,311318.0988144258,4343.254959516283
50%,56330.52333644899,321686.3569852251,357164.41648900084,5665.877850391194
75%,96837.1981489278,365820.0590614767,408405.71310156153,7566.041606980795
max,1805828.9055425185,1482978.3163019053,598936.8901102752,21818.168839312588
count,1000.0,1000.0,1000.0,1000.0
mean,31870.979529146753,224233.67884860057,186301.9479877643,7821.393131860946
std,29884.33001461745,55847.44144783355,54837.628374759945,3411.8965055788485
min,0.0,97130.96392440742,28572.741145011616,2643.7257516507225
25%,10057.44289456243,185412.99160654997,148016.3471464974,5483.225421391932
50%,22549.816218829583,218004.84432232246,184238.82028077877,7099.508855546898
75%,43426.05854791534,251856.55972850043,219331.52926945814,9274.169165637884
max,228043.59673729108,595371.5382113331,425689.7485154978,34054.3575275799
count,1000.0,1000.0,1000.0,1000.0
mean,3211.6680287950244,152506.25987091134,206218.44624321852,7145.920787898288
std,7411.225317119082,40296.24228774825,54693.25410905417,3383.178652723973
min,0.0,76587.36215201522,60803.153805122856,1999.5967792896263
25%,0.0,126001.13899061453,167811.00025549397,4890.8444491863065
50%,1022.2185104443481,147004.66924552413,202397.21355772088,6439.92898242957
75%,3419.172663963075,173121.02143743084,244014.79971760453,8680.789057801641
max,79393.71792875681,447711.3053881975,427032.4266759646,48033.31106471153
count,1000.0,1000.0,1000.0,1000.0
mean,10723.503944911117,93486.53902784525,230699.75076935554,7157.564182367624
std,25936.33595374799,32055.70423588304,52040.36483604135,3535.9977674664224
min,0.0,42234.82591945483,90658.11341037274,1982.0735923680193
25%,1214.0666365951574,73442.56639706611,195823.00623427753,4925.9221115954315
50%,3540.598970198633,86989.4250411278,227273.35293448815,6354.398998273804
75%,10312.156745970462,105397.8227585822,262901.9503392722,8570.405550919488
max,493693.691872998,423164.5205704425,417203.2085252145,48318.27896730837
count,412.0,412.0,412.0,412.0
mean,1348253.2956755504,585530.0675569866,403273.93105477386,7988.032863013992
std,175781.15619523008,61724.4897033282,79669.6821456445,3357.5831995660337
min,963909.8394274465,387906.1845113842,232333.34029956892,2413.7279961205522
25%,1225649.4471702229,547666.0337313912,345313.1744475195,5711.35964118951
50%,1338895.6187011502,581514.4491123026,398710.5405629398,7365.895740368095
75%,1457673.2792735947,620653.9130912068,455805.9442358894,9607.812400122913
max,2244822.3505377835,913404.9598331045,707198.5793383578,26941.337969481054
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,6.341309758573637,20277.506741163794,113926.14034511946,7117.355430615904
std,93.32665326139954,10842.195716214383,49874.03365374708,3445.3775741823397
min,0.0,2138.4152309612136,0.0,2262.586852692018
25%,0.0,13211.212997974068,79649.26820278485,4715.003468141108
50%,0.0,18866.821337300607,110737.05315220468,6372.573557120983
75%,0.0,25198.017326175235,148307.93205768522,8568.808680953343
max,2290.209847223879,200706.37002560962,266790.005775006,38410.33592359918
count,1000.0,1000.0,1000.0,1000.0
mean,2788.531301268843,147775.5651787495,185973.12197555558,7328.102381317792
std,7472.765916569833,40834.00192053732,54368.41658257711,3474.3062374961532
min,0.0,75127.19929267566,53623.50120650154,1999.5967792896263
25%,0.0,121269.82968443663,147043.94652890987,5015.7098278414705
50%,538.6268717342965,141627.3913290492,184154.70646688592,6648.721469194451
75%,2819.6137693414103,166550.23317219346,219838.48535430623,8888.351047073103
max,118273.38360593202,638636.2691809101,423777.4802991655,51050.33561080192
count,1000.0,1000.0,1000.0,1000.0
mean,111.51235587747395,90402.34450940714,184129.33112888847,7887.170149768153
std,1198.9969336315382,30998.709516206985,52911.013666481456,3497.1004663258987
min,0.0,44377.58879998247,43707.841288331845,2434.283861483908
25%,0.0,73045.76539660686,149004.3390801042,5481.627656417918
50%,0.0,86360.4694130586,181716.27940420865,7281.090652450717
75%,0.0,101427.7708912899,219465.33307083178,9456.09522110312
max,35407.549185672135,614307.6590435021,449031.46387004666,44097.33082467021
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,948.0,948.0,948.0,948.0
mean,347524.4305423932,290478.7074502624,129600.00206889134,7384.247128818294
std,98316.61506721193,68021.3412087944,48876.74690647672,3236.1293120794517
min,116899.86591385459,135300.16465395875,1214.2654485364985,1745.2063258931005
25%,277683.3219306698,252122.9947316441,94613.68269433097,5033.257256341344
50%,340999.36827485554,290739.60022555926,129607.67052576212,6687.031843557425
