,B,C,D,E
count,1000.0,1000.0,1000.0,1000.0
mean,89433.88367275757,315464.4595292752,346784.87201597035,6530.834760337955
std,102996.38340460323,69446.60001293595,71948.90768158028,2981.5270382987637
min,4772.720692014549,158480.0328317057,157860.72087237582,1804.475188463231
25%,38925.76286199986,266901.8100500071,296336.3532254935,4563.272717049773
50%,67746.28647123068,306277.6916216311,343131.03171712306,5907.091858294034
75%,112577.80506510762,353197.60101766477,389444.1400514207,7882.40033232294
max,2294893.8522626846,866850.3040372349,656804.8285390905,25322.087666239197
count,1000.0,1000.0,1000.0,1000.0
mean,25358.098334320606,218197.08429119783,187909.90245713555,7873.979865091009
std,24687.460895117165,54766.55906437716,52051.08024800789,3391.220834308899
min,0.0,102933.84894123225,62109.34284497427,2222.3077678893865
25%,7978.767320293254,179967.31121661962,151859.75777092192,5497.699601395447
50%,16362.870677305838,207991.05987646675,185423.52896960964,7122.041862606557
75%,35430.69630803429,248301.29057280748,221051.32295958503,9479.76053759954
max,173366.05629761342,461009.8024701617,399209.517223361,32243.31491998818
count,1000.0,1000.0,1000.0,1000.0
mean,2980.1452163821805,150283.94709032102,206930.0128045683,7147.2747453336415
std,7550.985896978001,38623.03095455047,54338.240513076176,3151.5698887185927
min,0.0,71294.98289948683,18663.009314069423,1960.0048433842119
25%,0.0,122351.95017267193,169049.2479724913,4910.227410795154
50%,706.4298387273303,146043.0495875177,204544.50246139304,6447.087342608879
75%,2953.310528009773,170857.04205942975,241729.94109354995,8741.443582053093
max,112786.62467290767,424197.1953466297,435506.0645415619,22894.614840565962
count,1000.0,1000.0,1000.0,1000.0
mean,12155.151670296613,93539.25094305375,231712.07197468763,7157.564182367624
std,31162.852530561377,32089.02762378711,52085.58689399347,3535.9977674664224
min,0.0,42234.82591945483,90896.5257747934,1982.0735923680193
25%,1484.7435925163368,73349.76651665423,197351.93074622942,4925.9221115954315
50%,4013.9570800764236,87198.79879379988,227960.75985574495,6354.398998273804
75%,11820.672806925777,105505.41767510067,264118.18938188034,8570.405550919488
max,690819.4825725724,423164.5205704425,417715.15457319346,48318.27896730837
count,861.0,861.0,861.0,861.0
mean,754465.3246262704,650893.2180232137,488049.26016823144,8030.938493581727
std,178450.97693476823,78689.40559513835,101160.45297962414,3633.269493357706
min,406838.7424560482,470095.1040832566,259895.7489996272,1956.0001566934047
25%,646654.570092496,599650.838916981,420413.4947854263,5593.030669751986
50%,731574.842440432,647878.6685715446,477126.39260600926,7244.406857077377
75%,839894.1305140028,696154.2971387301,543979.8634493286,9613.850161419441
max,3216987.950788479,1019647.5621382903,1044175.7798321348,33075.00200448587
count,1.0,1.0,1.0,1.0
mean,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
std,,,,
min,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
25%,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
50%,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
75%,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
max,2529168.002167816,542043.4583367875,310213.2421526527,4750.945367705902
count,1000.0,1000.0,1000.0,1000.0
mean,6.341309758573637,20277.506741163794,113926.14034511946,7117.355430615904
std,93.32665326139954,10842.195716214383,49874.03365374708,3445.3775741823397
min,0.0,2138.4152309612136,0.0,2262.586852692018
25%,0.0,13211.212997974068,79649.26820278485,4715.003468141108
50%,0.0,18866.821337300607,110737.05315220468,6372.573557120983
75%,0.0,25198.017326175235,148307.93205768522,8568.808680953343
max,2290.209847223879,200706.37002560962,266790.005775006,38410.33592359918
count,1000.0,1000.0,1000.0,1000.0
mean,2582.7180998913386,140080.85647418897,187193.20312065363,7338.73015691068
std,8087.5239585462,35589.33629812724,53906.121993276254,3296.4380922763817
min,0.0,62231.60890626308,54699.05423306504,1845.713822724122
25%,0.0,116755.65990425927,150492.69787013237,5140.449761133482
