,B,C,D,E
count,998.0,998.0,998.0,998.0
mean,263962.58843006985,746087.0667176828,635039.1800809426,6979.83345758143
std,163070.29183473348,91964.93122685624,136436.24445399345,3269.8928733957528
min,54620.35313902524,511387.05354768777,331016.66103579826,2065.1552173330256
25%,177160.16579868176,682674.0605686461,541296.1483744681,4634.896226937951
50%,243603.33062975708,742418.6798736174,612135.8026049663,6339.122960392088
75%,311674.2500343053,798820.05395086,705492.9323852467,8512.751962920905
max,2886781.752075365,1486697.347590407,1378401.8360688607,28128.582238475243
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,7.978571766307799,56205.74002143178,113812.71696417795,6946.0926047377925
std,153.43970712286568,13935.359176296213,50488.38865500127,3182.2137517222905
min,0.0,20898.70345695385,0.0,1466.5367223798298
25%,0.0,46416.780245493945,79418.44788296007,4784.303799502381
50%,0.0,55121.55692374814,110238.27750112428,6298.111494629422
75%,0.0,64071.27979438286,147757.6963071712,8342.263027403998
max,4575.984930244254,122185.3117348596,263603.8754286197,25261.874961128233
count,1000.0,1000.0,1000.0,1000.0
mean,4.051099911349758,19603.209744595002,130104.05261743793,6798.895129998897
std,59.020143822109816,10718.71000053836,51027.22651124215,3299.4221591249534
min,0.0,2138.4152309612136,896.4540891053608,2262.586852692018
25%,0.0,13001.934552949393,94557.94230713291,4518.473939330518
50%,0.0,18178.50230329512,127079.85126619216,6065.2378780223735
75%,0.0,23881.536614627476,163988.64992222894,8179.260154172808
max,1435.3389612664023,200706.37002560962,315563.1878311668,33740.498277470644
count,171.0,171.0,171.0,171.0
mean,1633287.2930292068,711064.4301894555,495543.24101648136,7724.177988472397
std,188706.24359328928,72223.89261055268,103829.78847299573,3074.0536607791905
min,1163752.3232382773,554580.671116406,313460.3474564122,2760.438594107091
25%,1496060.9286579462,663335.8079782166,427462.2308764419,5432.834861186265
50%,1645401.836950286,701660.0152180954,487700.92777860694,7189.43137484165
75%,1769126.2286187047,758635.1552725588,540972.5895399791,9274.908028216381
max,2138996.269277819,952642.1528881264,1119875.6980235367,18766.068425554276
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,2498.698605074074,16700.111338740677,7177.905634801849
std,0.0,2737.6783970270394,31026.503695521966,3297.369223686907
min,0.0,0.0,0.0,1971.144958340518
25%,0.0,734.7764231912063,0.0,4889.5899122568335
50%,0.0,1834.8074585272361,0.0,6492.005052513754
75%,0.0,3387.076258044433,31078.688066273226,8524.096743353137
max,0.0,26612.01924685388,211952.3275904589,28293.030956904204
count,1000.0,1000.0,1000.0,1000.0
mean,4.049816014949818,33202.32764951928,110234.1603345778,7112.154163695942
std,59.005227316502605,11796.208405212989,50210.22022047783,3345.2827727572712
min,0.0,10792.896838491748,0.0,1851.1601907529334
25%,0.0,26526.854442255615,77120.7978027627,4836.572346964775
50%,0.0,31812.52032344402,107921.78613193096,6444.122100263281
75%,0.0,38573.81475204817,142310.52266457313,8568.56938133938
max,1435.4781931726545,238945.68674038077,277875.8248044867,33576.95162621643
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,25463.26138063165,105714.25515444494,7928.261377201938
std,0.0,10098.682898727837,47852.44947675773,3785.2730043136794
min,0.0,6129.866429993221,0.0,2303.2804508593053
25%,0.0,18175.486463924877,70814.46939072793,5341.980847198597
50%,0.0,24713.822403096918,104028.13330277395,7053.573729677908
75%,0.0,31053.994346960455,135751.481115455,9499.92136964546
max,0.0,102503.6410075562,302636.5125684249,44015.104267176095
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.8027473951263284,43378.063822475175,6458.886834753018,7027.40429964909
std,25.385101543663467,11461.80440901268,18085.142209168647,3169.9414119738126
min,0.0,18186.636414387118,0.0,1812.3695597425951
25%,0.0,35507.188932500096,0.0,4784.097341340381
50%,0.0,41914.73993802244,0.0,6416.917148112149
75%,0.0,50294.54269242552,0.0,8524.970215641835
max,802.7473951263285,112542.35498827012,101841.02145933427,29256.476829323427
count,967.0,967.0,967.0,967.0
mean,402880.35334698664,476619.82284667337,407188.30583435815,7393.590678661448
std,133790.2505782276,79726.53717128602,81376.6903753989,3486.2367361488336
min,82005.16922208057,285152.4355675498,206323.49793331255,1950.6824209947358
25%,318855.84980159043,423871.3284724944,351352.8656337486,5045.272950772365
50%,388701.199392286,473348.0619439792,399715.770351267,6623.400965085901
75%,463010.3789373818,517095.57411709754,452176.64525335806,8896.140282847875
max,2059929.330990631,1157530.2424971377,958197.2645910576,32909.622797385964
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,10010.025576306462,14755.645076137487,7669.012220516245
std,0.0,5703.906909961233,25683.373614416374,3898.200240618232
min,0.0,0.0,0.0,1717.2357331394992
25%,0.0,5722.975205576463,0.0,5341.20123396672
50%,0.0,8588.506376388252,0.0,6909.220541014887
75%,0.0,13539.298883336647,30032.312766755178,9038.225544847066
max,0.0,59085.82018871631,149876.15449416282,68903.26571293689
count,404.0,404.0,404.0,404.0
mean,1413980.1583530616,549604.3330035965,367734.67387368204,7630.275728525594
std,193298.93032999636,61090.79069405564,69233.59205672411,2969.9391854463597
min,952784.3228674019,387209.05393002694,204685.60343113542,2811.9605344267397
25%,1281643.9864427145,506725.5699363934,318313.9236507685,5429.031513700015
50%,1397068.836529942,546216.1594290729,361204.1907623504,7120.111382577076
75%,1521681.6065215282,588313.5450365983,414488.91667584673,9215.22704453436
max,2970410.980691069,906669.9278535389,562801.9111928402,21894.77841205664
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.8028953101966364,51582.510468653985,49546.9332607733,5851.067504361997
std,25.38977902888784,13223.549457764932,43837.30457731326,2973.2979711172575
min,0.0,20727.334518245043,0.0,1770.297346879113
25%,0.0,42785.47805672162,1714.9384470210293,3975.7221637985767
50%,0.0,50202.39146695517,46488.78536031049,5228.6101847465825
75%,0.0,58284.68810543398,73342.84640495016,6983.699951272857
max,802.8953101966364,113878.07242905982,244998.26272874727,43233.81663845715
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,15844.02969731956,47365.85260770488,7819.481137809654
std,0.0,7945.996168912153,43245.167601556204,3533.262286748972
min,0.0,1490.8151115178143,0.0,2184.184512524501
25%,0.0,10128.403921458328,1055.2613300051203,5509.233099458971
50%,0.0,14388.067252384246,44632.769499115064,7130.705323613538
75%,0.0,20033.618086023456,75602.28527427664,9306.167175747703
max,0.0,84581.20904039298,256519.2379952366,31287.039101405633
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,985.0,985.0,985.0,985.0
mean,366761.73654744495,763734.8203788745,629213.863344015,7420.857200248151
std,191407.2615038869,88752.82668424388,144028.56825052007,3414.5619327529553
min,78204.34255216015,496603.82283553935,340713.9111920417,1738.5698877605514
25%,268390.1194159697,703691.6038572703,531273.144842881,5125.408408286841
50%,347161.1124920071,759639.9261667647,607062.6086379099,6777.482882012441
75%,423412.4952743073,816128.0666925346,699804.208682235,8888.00647063402
max,4413297.694764506,1252009.1660305236,1754163.6462869295,35718.180078547084
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,41530.04166744462,10257.98598691023,5497.024572214926
std,0.0,10862.046102214425,23048.85299835317,2792.247134235153
min,0.0,10928.453390385639,0.0,1253.2197084858365
25%,0.0,34187.79624699645,0.0,3662.8267727021303
50%,0.0,40303.75116379764,0.0,4895.185332057707
75%,0.0,48016.68537285262,1047.5663233891723,6635.428225652635
max,0.0,92728.12285885686,166977.68251105506,33782.88910694233
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,44147.984435545535,34717.76381123433,7283.804707485282
std,0.0,11872.229776396569,40330.453681317405,3620.6010176238015
min,0.0,13142.652775072074,0.0,2081.396953541458
25%,0.0,36390.264409820345,0.0,4883.937949524725
50%,0.0,42802.01798656913,25981.037070289887,6439.064357648545
75%,0.0,51237.813929965385,57758.473916633746,8676.332457869179
max,0.0,97665.64769254296,223410.16662712707,43736.13189607571
count,993.0,993.0,993.0,993.0
mean,193241.37934450872,443161.00812077196,415492.7673927576,7452.94998663684
std,109166.02488198012,74313.55738014434,80671.52341930108,3578.877608610984
min,26989.75027718611,273692.3130439335,215073.0918855905,2170.5164946209334
25%,127661.0869460546,392465.6901930733,357417.7278053749,5040.301806313507
50%,180470.68831518112,438155.90612504067,407473.1641270069,6661.8957170996155
75%,241674.2869448358,486100.17150042043,462104.71488775127,8833.027386012278
max,2071908.970284672,915742.2897421453,848432.2260799613,35688.05123668816
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
