cost_mean,cost_std,cost_min,cost_10%,cost_50%,cost_90%,cost_max,time_l_mean,time_l_std,time_l_min,time_l_10%,time_l_50%,time_l_90%,time_l_max,time_u_mean,time_u_std,time_u_min,time_u_10%,time_u_50%,time_u_90%,time_u_max,collapse_freq,irreparable_freq,replacement_freq,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,C_mean,C_std,C_min,C_25%,C_50%,C_75%,C_max,D_mean,D_std,D_min,D_25%,D_50%,D_75%,D_max,E_mean,E_std,E_min,E_25%,E_50%,E_75%,E_max
1664964.531348904,372278.0993682786,1048186.7311676496,1415446.6865908883,1625654.6002369756,1916219.1353783803,8100000.0,517.7876553857233,244.7431621021129,297.758696243947,389.9970363794188,477.4150050903151,651.2402742498019,4764.705882352941,1356.377855839864,291.6598442543915,897.3972493989488,1099.1680281897927,1316.8557599518635,1622.4104622241853,4764.705882352941,0.0,0.002,0.002,263962.58843006985,163070.29183473348,54620.35313902524,177160.16579868176,243603.33062975708,311674.2500343053,2886781.752075365,746087.0667176828,91964.93122685624,511387.05354768777,682674.0605686461,742418.6798736174,798820.05395086,1486697.347590407,635039.1800809426,136436.24445399345,331016.66103579826,541296.1483744681,612135.8026049663,705492.9323852467,1378401.8360688607,6979.83345758143,3269.8928733957528,2065.1552173330256,4634.896226937951,6339.122960392088,8512.751962920905,28128.582238475243
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.607,0.393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176972.52816211386,51844.11314370514,41963.35959837653,114168.67459935536,172912.51971729164,245680.64520106796,345459.33288197394,60.92453789928364,32.846263263624145,12.203423995494076,25.099020216054605,54.53179698780207,108.44479133909677,199.49223006196723,114.57099004752482,39.72192399415062,27.750103938687204,64.31830628919204,111.58577312877784,167.21295468238247,268.7753700449685,0.0,0.0,0.0,7.978571766307799,153.43970712286568,0.0,0.0,0.0,0.0,4575.984930244254,56205.74002143178,13935.359176296211,20898.70345695385,46416.780245493945,55121.55692374814,64071.27979438286,122185.3117348596,113812.71696417796,50488.38865500127,0.0,79418.44788296007,110238.27750112428,147757.6963071712,263603.8754286197,6946.0926047377925,3182.2137517222905,1466.5367223798298,4784.303799502381,6298.111494629422,8342.263027403998,25261.874961128236
156510.20859194317,51987.76365764055,17343.01421030845,91273.93136619536,151965.05714960504,225026.3611305976,336826.9352553935,62.045780907644456,31.669307667309976,6.282097771514364,25.924714527867437,56.928240248964414,105.9452602354081,312.44243490334577,93.88637696429778,36.1775085396524,11.1844619682087,49.92286796956394,91.2460114517366,142.8211418054385,335.5108668772232,0.0,0.0,0.0,4.051099911349758,59.020143822109816,0.0,0.0,0.0,0.0,1435.3389612664023,19603.209744595,10718.71000053836,2138.4152309612136,13001.934552949391,18178.50230329512,23881.53661462748,200706.3700256096,130104.05261743792,51027.22651124215,896.4540891053608,94557.94230713292,127079.85126619216,163988.64992222894,315563.1878311668,6798.895129998897,3299.4221591249534,2262.586852692018,4518.473939330518,6065.2378780223735,8179.260154172808,33740.498277470644
7201842.873320238,1980959.2150479693,2252678.049030888,2893875.418428789,8100000.0,8100000.0,8100000.0,4072.979782823314,1524.4660755512523,533.8239283616191,728.0949596067176,4764.705882352941,4764.705882352941,4764.705882352941,4282.533662085364,1065.4607123390897,1511.8478442796848,1974.6151741229776,4764.705882352941,4764.705882352941,4764.705882352941,0.0,0.829,0.829,1633287.2930292068,188706.24359328928,1163752.323238277,1496060.9286579462,1645401.836950286,1769126.2286187047,2138996.269277819,711064.4301894555,72223.89261055268,554580.671116406,663335.8079782166,701660.0152180954,758635.1552725588,952642.1528881264,495543.24101648136,103829.78847299571,313460.3474564122,427462.2308764419,487700.9277786069,540972.5895399791,1119875.6980235367,7724.177988472397,3074.0536607791905,2760.438594107091,5432.834861186265,7189.43137484165,9274.90802821638,18766.06842555428
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26376.715578616604,31080.465855918734,2795.074141276947,6106.256187471209,11162.236852192253,69384.82455793228,219461.7169681135,10.168219623050652,20.088594919070896,0.140944859197247,0.854379070677824,2.7161998646211645,23.42623933301036,172.04249777166785,12.2755370773364,21.75468494186105,0.3566355865397355,1.4000188390126878,4.242584294511022,27.67492311902209,174.8207094332521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498.698605074074,2737.6783970270394,0.0,734.7764231912063,1834.807458527236,3387.076258044433,26612.01924685388,16700.111338740677,31026.50369552197,0.0,0.0,0.0,31078.688066273226,211952.3275904589,7177.905634801849,3297.369223686907,1971.144958340518,4889.5899122568335,6492.005052513754,8524.096743353137,28293.030956904204
150552.69196380794,51241.07521778196,23576.92358271924,85794.64342325828,148519.84795683887,217040.59802786304,407036.235130308,54.267497973180745,30.52849938672445,7.216983970509779,19.432192471475965,48.89686373151205,99.59348800661596,171.3050923666803,92.46368385527524,37.75739331648469,18.4153633321923,45.18865901564326,88.43663830800782,144.20457753717497,230.60495335471472,0.0,0.0,0.0,4.049816014949818,59.005227316502605,0.0,0.0,0.0,0.0,1435.4781931726543,33202.32764951928,11796.208405212989,10792.896838491748,26526.85444225561,31812.52032344402,38573.81475204817,238945.6867403808,110234.1603345778,50210.22022047783,0.0,77120.7978027627,107921.78613193096,142310.52266457313,277875.8248044867,7112.154163695942,3345.2827727572712,1851.1601907529332,4836.572346964775,6444.122100263281,8568.56938133938,33576.95162621643
139105.77791227854,49109.37824666005,22592.969275064705,77649.88769496437,137850.09025777935,203008.87014612328,334852.6218808155,59.09946881232381,31.50457471574808,4.759543439060897,21.673521749564333,53.90091821223288,103.15733133118282,198.3358981045164,90.08109384241756,35.53980069866033,12.258317289530265,44.99247365622104,86.91969224994872,140.05429970001344,217.1463607677892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25463.26138063165,10098.682898727837,6129.866429993221,18175.48646392488,24713.82240309692,31053.99434696045,102503.6410075562,105714.25515444494,47852.44947675773,0.0,70814.46939072793,104028.13330277396,135751.481115455,302636.5125684249,7928.261377201938,3785.27300431368,2303.2804508593053,5341.980847198597,7053.573729677908,9499.92136964546,44015.104267176095
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
