,Location,Direction,Theta_0,Units,Family,Theta_1
B2022.001,all,1,1702,ft2,lognormal,0.6
B2022.001,all,2,638,ft2,lognormal,0.6
B2022.001,all,1,785,ft2,lognormal,0.8
B2022.001,all,2,295,ft2,lognormal,0.8
B2022.002,all,1,900,ft2,lognormal,0.8
B2022.002,all,2,337.5,ft2,lognormal,0.8
B2022.002,all,1,1472.72,ft2,lognormal,0.6
B2022.002,all,2,552.27,ft2,lognormal,0.6
B2022.011,all,1,785.45,ft2,lognormal,0.8
B2022.011,all,2,294.54,ft2,lognormal,0.8
B3011.011,all,"1,2",1053,ft2,lognormal,1.3
B3011.011,all,"1,2",882,ft2,lognormal,0.01
C1011.001a,all,1,567,ft,lognormal,0.2
C1011.001a,all,2,213,ft,lognormal,0.2
C1011.001a,all,1,445,ft,lognormal,0.2
C1011.001a,all,2,167,ft,lognormal,0.2
C2011.001a,all,1,1,ea,lognormal,0
C2011.001a,all,2,1,ea,lognormal,0
C3011.001a,all,1,42.9,ft,lognormal,0.7
C3011.001a,all,2,16.1,ft,lognormal,0.7
C3011.001a,all,1,26.4,ft,lognormal,0.8
C3011.001a,all,2,9.9,ft,lognormal,0.8
C3027.001,all,"1,2",2925,ft2,lognormal,0.2
C3032.001a,all,"1,2",3510,ft2,lognormal,0
C3032.001a,all,"1,2",195,ft2,lognormal,0
C3032.001a,all,"1,2",117,ft2,lognormal,0
C3032.001a,all,"1,2",78,ft2,lognormal,0
C3032.001a,all,"1,2",3060,ft2,lognormal,0
C3032.001a,all,"1,2",180,ft2,lognormal,0
C3032.001a,all,"1,2",288,ft2,lognormal,0
C3032.001a,all,"1,2",72,ft2,lognormal,0
C3032.003a,all,"1,2",3506.25,ft2,lognormal,0
C3032.003a,all,"1,2",206.25,ft2,lognormal,0
C3032.003a,all,"1,2",330,ft2,lognormal,0
C3032.003a,all,"1,2",82.5,ft2,lognormal,0
C3032.003a,all,"1,2",3037.5,ft2,lognormal,0
C3032.003a,all,"1,2",168.75,ft2,lognormal,0
C3032.003a,all,"1,2",101.25,ft2,lognormal,0
C3032.003a,all,"1,2",67.5,ft2,lognormal,0
C3034.001,all,"1,2",58.5,ea,lognormal,0.3
C3034.001,all,"1,2",58.5,ea,lognormal,0.3
C3034.001,all,"1,2",54,ea,lognormal,0.2
C3034.001,all,"1,2",54,ea,lognormal,0.2
D1014.011,all,"1,2",0.5,ea,lognormal,0.7
D2021.011a,all,"1,2",163.8,ft,lognormal,0.7
D2021.011a,all,"1,2",216,ft,lognormal,0.3
D2021.013a,all,"1,2",247.5,ft,lognormal,0.3
D2021.013a,all,"1,2",141.75,ft,lognormal,0.7
D3031.011a,all,"1,2",0.913,ea,lognormal,0.1
D3031.021a,all,"1,2",0.913,ea,lognormal,0.1
D3041.011a,all,"1,2",292.5,ft,lognormal,0.2
D3041.011a,all,"1,2",360,ft,lognormal,0.2
D3041.012a,all,"1,2",78,ft,lognormal,0.2
D3041.012a,all,"1,2",180,ft,lognormal,0.3
D3041.031a,all,"1,2",35.1,ea,lognormal,0.5
D3041.031a,all,"1,2",57.6,ea,lognormal,0.2
D3041.041a,all,"1,2",18,ea,lognormal,0.2
D3041.041a,all,"1,2",7.8,ea,lognormal,0.5
D3041.041a,all,"1,2",7.2,ea,lognormal,0.2
D3041.041a,all,"1,2",1.1,ea,lognormal,0.7
D3052.011a,all,"1,2",5.42,ea,lognormal,0.2
D4011.021a,all,"1,2",720,ft,lognormal,0.1
D4011.021a,all,"1,2",780,ft,lognormal,0.1
D4011.031a,all,"1,2",36,ea,lognormal,0.2
D4011.031a,all,"1,2",35.1,ea,lognormal,0.2
D5012.021a,all,"1,2",4.5,ea,lognormal,0.4
D5092.031a,all,"1,2",0.216,ea,lognormal,0.7
E2022.102a,all,"1,2",7.8,ea,lognormal,0.6
E2022.102a,all,"1,2",10.8,ea,lognormal,0.5
E2022.112a,all,"1,2",3.1,ea,lognormal,0.6
E2022.112a,all,"1,2",1.1,ea,lognormal,0.3
B1035.031,all,1,11,ea,lognormal,0
B1033.111b,all,2,2,ea,lognormal,0
B1033.101b,all,2,2,ea,lognormal,0
