Run #,RSN,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-2,1-PFA-1-2,1-PFA-2-2,1-PFA-3-2,1-PID-1-2,1-PID-2-2,1-PID-3-2
1,6,91.9888,124.0087,169.0037309,240.9864,0.0071,0.0106,0.0087,69.0394,140.5386,135.2964,179.3825,0.0041,0.0067,0.0034
2,140,94.4955,122.5532,120.4524139,132.9907,0.0022,0.0029,0.0035,106.4268,186.9536,155.5525,173.2040,0.0031,0.0039,0.0035
3,266,98.6477,122.3049,193.7544075,235.3078,0.0069,0.0093,0.0075,63.6947,117.2043,121.9228,155.7377,0.0042,0.0049,0.0032
4,461,55.0856,90.3679,102.4330387,144.7160,0.0032,0.0046,0.0039,110.1447,119.0666,180.8961,209.7230,0.0095,0.0115,0.0059
5,836,92.1763,174.3065,203.8869178,199.6114,0.0041,0.0050,0.0058,90.4590,137.0576,163.6566,171.4123,0.0041,0.0047,0.0030
6,841,95.9203,115.7030,219.9371742,247.9586,0.0075,0.0116,0.0091,72.6995,120.1275,147.5222,171.6813,0.0065,0.0074,0.0037
7,1454,82.0696,134.4230,210.6360305,268.3029,0.0093,0.0133,0.0104,127.1055,162.2788,183.8179,235.2363,0.0160,0.0196,0.0134
8,4098,127.2261,109.1064,179.6402246,214.4344,0.0065,0.0094,0.0080,104.4050,110.3104,176.5705,160.5305,0.0057,0.0079,0.0048
9,5823,88.6119,151.1107,200.0162733,244.0531,0.0080,0.0106,0.0083,70.2459,145.9476,142.5244,160.7601,0.0046,0.0055,0.0031
10,5883,90.7524,186.8749,120.0782651,200.5467,0.0042,0.0063,0.0057,59.0433,121.5376,128.2655,158.9049,0.0035,0.0046,0.0032
11,6890,76.4547,150.2073,185.1055315,243.5410,0.0066,0.0100,0.0081,83.7884,148.7656,163.2761,189.2656,0.0041,0.0056,0.0035
