Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS24X12X.750,HSS24X12X3/4,F,171.16,47.1,–,–,24.0,21.9,–,–,–,12.0,9.91,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,14.2,–,31.4,–,3440,359,287,8.55,1170,221,195,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS24X12X.625,HSS24X12X5/8,F,144.39,39.6,–,–,24.0,22.3,–,–,–,12.0,10.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,17.7,–,38.4,–,2940,304,245,8.62,1000,188,167,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS24X12X.500,HSS24X12X1/2,F,116.91,32.1,–,–,24.0,22.6,–,–,–,12.0,10.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,22.8,–,48.6,–,2420,248,202,8.68,829,154,138,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS22X22X.875,HSS22X22X7/8,F,244.88,67.3,–,–,22.0,19.6,–,–,–,22.0,19.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,24.1,–,24.1,–,4970,530,452,8.59,4970,530,452,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS22X22X.750,HSS22X22X3/4,F,212.00,58.2,–,–,22.0,19.9,–,–,–,22.0,19.9,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,4350,462,395,8.65,4350,462,395,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS20X20X.875,HSS20X20X7/8,F,221.06,60.8,–,–,20.0,17.6,–,–,–,20.0,17.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,21.6,–,21.6,–,3670,433,367,7.77,3670,433,367,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS20X20X.750,HSS20X20X3/4,F,191.58,52.6,–,–,20.0,17.9,–,–,–,20.0,17.9,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,25.6,–,25.6,–,3230,378,323,7.84,3230,378,323,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS20X20X.625,HSS20X20X5/8,F,161.40,44.3,–,–,20.0,18.3,–,–,–,20.0,18.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,2750,320,275,7.88,2750,320,275,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS20X20X.500,HSS20X20X1/2,F,130.52,35.8,–,–,20.0,18.6,–,–,–,20.0,18.6,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,40.0,–,40.0,–,2260,261,226,7.95,2260,261,226,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS20X12X.750,HSS20X12X3/4,F,150.75,41.5,–,–,20.0,17.9,–,–,–,12.0,9.91,–,–,–,–,–,–,–,0.750,0.698,–,–,–,–,–,–,–,–,–,–,14.2,–,25.6,–,2190,270,219,7.26,988,190,165,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
