Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W14X873,W14X873,T,873,257,23.6,–,–,–,18.8,–,–,–,3.94,5.51,–,–,–,6.10,–,–,–,–,–,1.71,–,–,2.89,–,–,18100,2030,1530,8.39,6170,1020,656,4.90,–,–,–,2270
W,W14X808,W14X808,T,808,238,22.8,–,–,–,18.6,–,–,–,3.74,5.12,–,–,–,5.71,–,–,–,–,–,1.82,–,–,3.04,–,–,15900,1830,1390,8.17,5550,930,597,4.83,–,–,–,1840
W,W14X730,W14X730,T,730,215,22.4,–,–,–,17.9,–,–,–,3.07,4.91,–,–,–,5.51,–,–,–,–,–,1.82,–,–,3.71,–,–,14300,1660,1280,8.17,4720,816,527,4.69,–,–,–,1450
W,W14X665,W14X665,T,665,196,21.6,–,–,–,17.7,–,–,–,2.83,4.52,–,–,–,5.12,–,–,–,–,–,1.95,–,–,4.03,–,–,12400,1480,1150,7.98,4170,730,472,4.62,–,–,–,1120
W,W14X605,W14X605,T,605,178,20.9,–,–,–,17.4,–,–,–,2.60,4.16,–,–,–,4.76,–,–,–,–,–,2.09,–,–,4.39,–,–,10800,1320,1040,7.80,3680,652,423,4.55,–,–,–,869
W,W14X550,W14X550,T,550,162,20.2,–,–,–,17.2,–,–,–,2.38,3.82,–,–,–,4.42,–,–,–,–,–,2.25,–,–,4.79,–,–,9430,1180,931,7.63,3250,583,378,4.49,–,–,–,669
W,W14X500,W14X500,T,500,147,19.6,–,–,–,17.0,–,–,–,2.19,3.50,–,–,–,4.10,–,–,–,–,–,2.43,–,–,5.21,–,–,8210,1050,838,7.48,2880,522,339,4.43,–,–,–,514
W,W14X455,W14X455,T,455,134,19.0,–,–,–,16.8,–,–,–,2.02,3.21,–,–,–,3.81,–,–,–,–,–,2.62,–,–,5.66,–,–,7190,936,756,7.33,2560,468,304,4.38,–,–,–,395
W,W14X426,W14X426,T,426,125,18.7,–,–,–,16.7,–,–,–,1.88,3.04,–,–,–,3.63,–,–,–,–,–,2.75,–,–,6.08,–,–,6600,869,706,7.26,2360,434,283,4.34,–,–,–,331
W,W14X398,W14X398,T,398,117,18.3,–,–,–,16.6,–,–,–,1.77,2.85,–,–,–,3.44,–,–,–,–,–,2.92,–,–,6.44,–,–,6000,801,656,7.16,2170,402,262,4.31,–,–,–,273
W,W14X370,W14X370,T,370,109,17.9,–,–,–,16.5,–,–,–,1.66,2.66,–,–,–,3.26,–,–,–,–,–,3.10,–,–,6.89,–,–,5440,736,607,7.07,1990,370,241,4.27,–,–,–,222
W,W14X342,W14X342,T,342,101,17.5,–,–,–,16.4,–,–,–,1.54,2.47,–,–,–,3.07,–,–,–,–,–,3.31,–,–,7.41,–,–,4900,672,558,6.98,1810,338,221,4.24,–,–,–,178
W,W14X311,W14X311,T,311,91.4,17.1,–,–,–,16.2,–,–,–,1.41,2.26,–,–,–,2.86,–,–,–,–,–,3.59,–,–,8.09,–,–,4330,603,506,6.88,1610,304,199,4.20,–,–,–,136
W,W14X283,W14X283,T,283,83.3,16.7,–,–,–,16.1,–,–,–,1.29,2.07,–,–,–,2.67,–,–,–,–,–,3.89,–,–,8.84,–,–,3840,542,459,6.79,1440,274,179,4.17,–,–,–,104
W,W14X257,W14X257,F,257,75.6,16.4,–,–,–,16.0,–,–,–,1.18,1.89,–,–,–,2.49,–,–,–,–,–,4.23,–,–,9.71,–,–,3400,487,415,6.71,1290,246,161,4.13,–,–,–,79.1
W,W14X233,W14X233,F,233,68.5,16.0,–,–,–,15.9,–,–,–,1.07,1.72,–,–,–,2.32,–,–,–,–,–,4.62,–,–,10.7,–,–,3010,436,375,6.63,1150,221,145,4.10,–,–,–,59.5
W,W14X211,W14X211,F,211,62.0,15.7,–,–,–,15.8,–,–,–,0.980,1.56,–,–,–,2.16,–,–,–,–,–,5.06,–,–,11.6,–,–,2660,390,338,6.55,1030,198,130,4.07,–,–,–,44.6
W,W14X193,W14X193,F,193,56.8,15.5,–,–,–,15.7,–,–,–,0.890,1.44,–,–,–,2.04,–,–,–,–,–,5.45,–,–,12.8,–,–,2400,355,310,6.50,931,180,119,4.05,–,–,–,34.8
W,W14X176,W14X176,F,176,51.8,15.2,–,–,–,15.7,–,–,–,0.830,1.31,–,–,–,1.91,–,–,–,–,–,5.97,–,–,13.7,–,–,2140,320,281,6.43,838,163,107,4.02,–,–,–,26.5
W,W14X159,W14X159,F,159,46.7,15.0,–,–,–,15.6,–,–,–,0.745,1.19,–,–,–,1.79,–,–,–,–,–,6.54,–,–,15.3,–,–,1900,287,254,6.38,748,146,96.2,4.00,–,–,–,19.7
W,W14X145,W14X145,F,145,42.7,14.8,–,–,–,15.5,–,–,–,0.680,1.09,–,–,–,1.69,–,–,–,–,–,7.11,–,–,16.8,–,–,1710,260,232,6.33,677,133,87.3,3.98,–,–,–,15.2
W,W14X132,W14X132,F,132,38.8,14.7,–,–,–,14.7,–,–,–,0.645,1.03,–,–,–,1.63,–,–,–,–,–,7.15,–,–,17.7,–,–,1530,234,209,6.28,548,113,74.5,3.76,–,–,–,12.3
W,W14X120,W14X120,F,120,35.3,14.5,–,–,–,14.7,–,–,–,0.590,0.940,–,–,–,1.54,–,–,–,–,–,7.80,–,–,19.3,–,–,1380,212,190,6.24,495,102,67.5,3.74,–,–,–,9.37
W,W14X109,W14X109,F,109,32.0,14.3,–,–,–,14.6,–,–,–,0.525,0.860,–,–,–,1.46,–,–,–,–,–,8.49,–,–,21.7,–,–,1240,192,173,6.22,447,92.7,61.2,3.73,–,–,–,7.12
W,W14X82,W14X82,F,82.0,24.0,14.3,–,–,–,10.1,–,–,–,0.510,0.855,–,–,–,1.45,–,–,–,–,–,5.92,–,–,22.4,–,–,881,139,123,6.05,148,44.8,29.3,2.48,–,–,–,5.07
W,W14X74,W14X74,F,74.0,21.8,14.2,–,–,–,10.1,–,–,–,0.450,0.785,–,–,–,1.38,–,–,–,–,–,6.41,–,–,25.4,–,–,795,126,112,6.04,134,40.5,26.6,2.48,–,–,–,3.87
W,W14X68,W14X68,F,68.0,20.0,14.0,–,–,–,10.0,–,–,–,0.415,0.720,–,–,–,1.31,–,–,–,–,–,6.97,–,–,27.5,–,–,722,115,103,6.01,121,36.9,24.2,2.46,–,–,–,3.01
W,W14X61,W14X61,F,61.0,17.9,13.9,–,–,–,10.0,–,–,–,0.375,0.645,–,–,–,1.24,–,–,–,–,–,7.75,–,–,30.4,–,–,640,102,92.1,5.98,107,32.8,21.5,2.45,–,–,–,2.19
W,W14X53,W14X53,F,53.0,15.6,13.9,–,–,–,8.06,–,–,–,0.370,0.660,–,–,–,1.25,–,–,–,–,–,6.11,–,–,30.9,–,–,541,87.1,77.8,5.89,57.7,22.0,14.3,1.92,–,–,–,1.94
W,W14X48,W14X48,F,48.0,14.1,13.8,–,–,–,8.03,–,–,–,0.340,0.595,–,–,–,1.19,–,–,–,–,–,6.75,–,–,33.6,–,–,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,–,–,–,1.45
W,W12X336,W12X336,T,336,98.9,16.8,–,–,–,13.4,–,–,–,1.78,2.96,–,–,–,3.55,–,–,–,–,–,2.26,–,–,5.47,–,–,4060,603,483,6.41,1190,274,177,3.47,–,–,–,243
