Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, H1,81,0.0376,26.2958, -,7.1,13.7,0.2," ""San Fernando""",1971," ""Pearblossom Pump""",6.61, Reverse,35.54,38.97,529.09,0.25,26.8467, RSN81_SFERN_PPP000.AT2, RSN81_SFERN_PPP270.AT2 , RSN81_SFERN_PPPDWN.AT2  
2, H1,164,0.0264,7.9967, -,19.7,36.4,1.3," ""Imperial Valley-06""",1979," ""Cerro Prieto""",6.53, strike slip,15.19,15.19,471.53,0.1125,8.1642, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
3, H1,294,0.0342,16.9933, -,16.8,22.9,0," ""Irpinia_ Italy-01""",1980," ""Tricarico""",6.9, Normal,51.74,53.16,496.46,0.15,17.3494, RSN294_ITALY_A-TRC000.AT2, RSN294_ITALY_A-TRC270.AT2 , RSN294_ITALY_A-TRC-UP.AT2  
4, H1,587,0.0302,4.9814, -,3.8,8.4,0.7," ""New Zealand-02""",1987," ""Matahina Dam""",6.6, Normal,16.09,16.09,551.3,0.25,5.0858, RSN587_NEWZEAL_A-MAT083.AT2, RSN587_NEWZEAL_A-MAT353.AT2 , RSN587_NEWZEAL_A-MAT-UP.AT2  
5, H1,749,0.0452,10.5697, -,5.7,14.6,0," ""Loma Prieta""",1989," ""Berkeley - Strawberry Canyon""",6.93, Reverse Oblique,78.32,78.41,512.27,0.084,10.7912, RSN749_LOMAP_UCS045.AT2, RSN749_LOMAP_UCS135.AT2 , RSN749_LOMAP_UCS-UP.AT2  
6, H1,779,0.0178,0.8141, -,5.5,10.2,7.9," ""Loma Prieta""",1989," ""LGPC""",6.93, Reverse Oblique,0,3.88,594.83,0.125,0.8311, RSN779_LOMAP_LGP000.AT2, RSN779_LOMAP_LGP090.AT2 , RSN779_LOMAP_LGP-UP.AT2  
7, H1,781,0.05,17.7542, -,6.2,13.4,0.1," ""Loma Prieta""",1989," ""Lower Crystal Springs Dam dwnst""",6.93, Reverse Oblique,48.24,48.39,586.08,0.125,18.1261, RSN781_LOMAP_XSP000.AT2, RSN781_LOMAP_XSP090.AT2 , RSN781_LOMAP_XSP-UP.AT2  
8, H1,787,0.0537,2.9496, -,4.9,12.7,0.9," ""Loma Prieta""",1989," ""Palo Alto - SLAC Lab""",6.93, Reverse Oblique,30.62,30.86,425.3,0.125,3.0114, RSN787_LOMAP_SLC270.AT2, RSN787_LOMAP_SLC360.AT2 , RSN787_LOMAP_SLC-UP.AT2  
9, H1,798,0.049,26.5848, -,6.4,16.1,0," ""Loma Prieta""",1989," ""SF - Telegraph Hill""",6.93, Reverse Oblique,76.4,76.5,585.23,0.075,27.1418, RSN798_LOMAP_TLH000.AT2, RSN798_LOMAP_TLH090.AT2 , RSN798_LOMAP_TLH-UP.AT2  
10, H1,812,0.0502,5.7023, -,6.3,16.8,0.1," ""Loma Prieta""",1989," ""Woodside""",6.93, Reverse Oblique,33.87,34.09,453.98,0.1,5.8218, RSN812_LOMAP_WDS000.AT2, RSN812_LOMAP_WDS090.AT2 , RSN812_LOMAP_WDS-UP.AT2  
11, H1,825,0.0317,1.5823, -,2.9,9.7,6," ""Cape Mendocino""",1992," ""Cape Mendocino""",7.01, Reverse,0,6.96,567.78,0.07,1.6154, RSN825_CAPEMEND_CPM000.AT2, RSN825_CAPEMEND_CPM090.AT2 , RSN825_CAPEMEND_CPM-UP.AT2  
12, H1,827,0.048,4.315, -,11.3,18.7,0.3," ""Cape Mendocino""",1992," ""Fortuna - Fortuna Blvd""",7.01, Reverse,15.97,19.95,457.06,0.07,4.4054, RSN827_CAPEMEND_FOR000.AT2, RSN827_CAPEMEND_FOR090.AT2 , RSN827_CAPEMEND_FOR-UP.AT2  
13, H1,946,0.047,32.3752, -,9,15.2,0," ""Northridge-01""",1994," ""Antelope Buttes""",6.69, Reverse,46.65,46.91,572.57,0.12,33.0535, RSN946_NORTHR_ATB000.AT2, RSN946_NORTHR_ATB090.AT2 , RSN946_NORTHR_ATB-UP.AT2  
14, H1,1005,0.0597,6.8785, -,7.3,14.6,0.5," ""Northridge-01""",1994," ""LA - Temple & Hope""",6.69, Reverse,28.82,31.48,452.15,0.2,7.0226, RSN1005_NORTHR_TEM090.AT2, RSN1005_NORTHR_TEM180.AT2 , RSN1005_NORTHR_TEM-UP.AT2  
15, H1,1083,0.0388,6.9721, -,6.8,15.9,0.5," ""Northridge-01""",1994," ""Sunland - Mt Gleason Ave""",6.69, Reverse,12.38,13.35,402.16,0.125,7.1182, RSN1083_NORTHR_GLE170.AT2, RSN1083_NORTHR_GLE260.AT2 , RSN1083_NORTHR_GLE-UP.AT2  
16, H1,1089,0.0569,17.0791, -,5.6,9.3,1," ""Northridge-01""",1994," ""Topanga - Fire Sta""",6.69, Reverse,10.31,22.28,505.97,0.168,17.4369, RSN1089_NORTHR_TPF360.AT2, RSN1089_NORTHR_TPF270.AT2 , RSN1089_NORTHR_TPF-UP.AT2  
17, H1,1093,0.0416,36.1545, -,9.5,16.1,0.1," ""Northridge-01""",1994," ""Villa Park - Serrano Ave""",6.69, Reverse,76.38,77.56,416.93,0.125,36.912, RSN1093_NORTHR_SER000.AT2, RSN1093_NORTHR_SER270.AT2 , RSN1093_NORTHR_SER-UP.AT2  
18, H1,1148,0.0573,9.3299,7.791,7.7,11.1,0.3," ""Kocaeli_ Turkey""",1999," ""Arcelik""",7.51, strike slip,10.56,13.49,523,0.0875,9.5254, RSN1148_KOCAELI_ARE000.AT2, RSN1148_KOCAELI_ARE090.AT2 , RSN1148_KOCAELI_AREDWN.AT2  
19, H1,1190,0.0334,13.9525, -,24.7,39.1,0.1," ""Chi-Chi_ Taiwan""",1999," ""CHY019""",7.62, Reverse Oblique,49.98,50.53,497.53,0.0375,14.2448, RSN1190_CHICHI_CHY019-N.AT2, RSN1190_CHICHI_CHY019-W.AT2 , RSN1190_CHICHI_CHY019-V.AT2  
20, H1,1198,0.0235,3.1118, -,9.1,32.3,0.9," ""Chi-Chi_ Taiwan""",1999," ""CHY029""",7.62, Reverse Oblique,10.96,10.96,544.74,0.0375,3.177, RSN1198_CHICHI_CHY029-E.AT2, RSN1198_CHICHI_CHY029-N.AT2 , RSN1198_CHICHI_CHY029-V.AT2  
21, H1,1214,0.0406,15.5045, -,26.1,39.1,0.1," ""Chi-Chi_ Taiwan""",1999," ""CHY057""",7.62, Reverse Oblique,56.67,56.93,411.46,0.0375,15.8293, RSN1214_CHICHI_CHY057-E.AT2, RSN1214_CHICHI_CHY057-N.AT2 , RSN1214_CHICHI_CHY057-V.AT2  
22, H1,1218,0.0469,19.1066, -,24.7,38,0.1," ""Chi-Chi_ Taiwan""",1999," ""CHY061""",7.62, Reverse Oblique,57.5,58.75,538.69,0.0875,19.5069, RSN1218_CHICHI_CHY061-E.AT2, RSN1218_CHICHI_CHY061-N.AT2 , RSN1218_CHICHI_CHY061-V.AT2  
