ID,Incomplete,Demand,Demand,Demand,Demand,LS1,LS1,LS1,LS1,LS2,LS2,LS2,LS2,LS3,LS3,LS3,LS3,LS4,LS4,LS4,LS4
,,Type,Unit,Offset,Directional,Family,Theta_0,Theta_1,DamageStateWeights,Family,Theta_0,Theta_1,DamageStateWeights,Family,Theta_0,Theta_1,DamageStateWeights,Family,Theta_0,Theta_1,DamageStateWeights
B.20.11.201a,0,Peak Interstory Drift Ratio,rad,0,1,lognormal,0.01,0.5,0.500000 | 0.500000,,,,,,,,,,,,
B.20.11.201b,0,Peak Floor Acceleration,g,0,0,lognormal,2,0.4,,,,,,,,,,,,,
C.20.11.001a,0,Peak Interstory Drift Ratio,rad,0,1,lognormal,0.005,1.2,,lognormal,0.017,0.6,,lognormal,0.028,0.45,,,,,
C.20.11.011a,0,Peak Interstory Drift Ratio,rad,0,1,lognormal,0.005,1.2,,lognormal,0.017,0.6,,lognormal,0.028,0.45,,,,,
C.30.21.001a,0,Peak Floor Acceleration,g,1,0,lognormal,1.5,0.4,,lognormal,2.6,0.4,,,,,,,,,
C.30.21.001k,0,Peak Floor Acceleration,g,1,0,lognormal,1.5,0.4,,lognormal,2.6,0.4,,,,,,,,,
D.20.22.013a,0,Peak Floor Acceleration,g,1,0,lognormal,0.55,0.5,,lognormal,1.1,0.5,,,,,,,,,
D.20.22.013b,0,Peak Floor Acceleration,g,1,0,lognormal,2.25,0.5,,,,,,,,,,,,,
D.20.22.023a,0,Peak Floor Acceleration,g,1,0,lognormal,2.25,0.5,,lognormal,4.1,0.5,,,,,,,,,
D.20.22.023b,0,Peak Floor Acceleration,g,1,0,lognormal,1.5,0.5,,lognormal,2.25,0.5,,,,,,,,,
D.20.31.023a,0,Peak Floor Acceleration,g,1,0,lognormal,3,0.5,,,,,,,,,,,,,
D.20.31.023b,0,Peak Floor Acceleration,g,1,0,lognormal,2.25,0.5,,,,,,,,,,,,,
D.20.61.013a,0,Peak Floor Acceleration,g,1,0,lognormal,0.55,0.5,,lognormal,1.1,0.5,,,,,,,,,
D.20.61.013b,0,Peak Floor Acceleration,g,1,0,lognormal,2.25,0.5,,,,,,,,,,,,,
D.30.31.013f,0,Peak Floor Acceleration,g,0,0,lognormal,6.1,0.4,0.350000 | 0.150000 | 0.500000,,,,,,,,,,,,
D.30.31.023f,0,Peak Floor Acceleration,g,0,0,lognormal,2.2,0.4,0.350000 | 0.150000 | 0.500000,,,,,,,,,,,,
D.30.52.013l,0,Peak Floor Acceleration,g,0,0,lognormal,2.9,0.6,0.350000 | 0.150000 | 0.350000 | 0.150000,,,,,,,,,,,,
D.50.12.013b,0,Peak Floor Acceleration,g,0,0,lognormal,6,0.4,0.700000 | 0.300000,,,,,,,,,,,,
D.50.12.023l,0,Peak Floor Acceleration,g,0,0,lognormal,4.6,0.4,0.350000 | 0.150000 | 0.500000,,,,,,,,,,,,
D.50.12.023j,0,Peak Floor Acceleration,g,0,0,lognormal,4.6,0.4,0.700000 | 0.300000,,,,,,,,,,,,
D.50.92.033f,0,Peak Floor Acceleration,g,0,0,lognormal,6.8,0.6,0.350000 | 0.150000 | 0.400000 | 0.050000 | 0.050000,,,,,,,,,,,,
E.20.22.102b,0,Peak Floor Acceleration,g,0,0,lognormal,3,0.5,,,,,,,,,,,,,
E.20.22.106b,0,Peak Floor Acceleration,g,0,0,lognormal,3,0.5,,,,,,,,,,,,,
E.20.22.114b,0,Peak Floor Acceleration,g,0,0,lognormal,3,0.5,,,,,,,,,,,,,
E.20.22.112b,0,Peak Floor Acceleration,g,0,0,lognormal,3,0.5,,,,,,,,,,,,,
