cmp,PACT_name,FEMA_name,unit,quantity,PACT_block,directional,lab_mean,health_mean,edu_mean,res_mean,office_mean,retail_mean,warehouse_mean,hotel_mean,lab_std,health_std,edu_std,res_std,office_std,retail_std,warehouse_std,hotel_std
B.20.22.001,"B2022.001    Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown",Cladding - Windows & Glazing Area,SF,100,SF 30,YES,0.0015,0.0014,0.0011,0.0015,0.003,0.0006,1E-05,0.0012,0.8,0.7,0.8,0.6,0.6,0.3,0.2,0.3
B.30.11.011,"B3011.011    Concrete tile roof, tiles secured and compliant with UBC94",Roofing,SF,1,SF 100,NO,0.245,0.29,0.68,0.32,0.27,0.5,1,0.2,0.8,1,0.6,0.9,1.3,0.3,0,0.9
C.10.11.001a,"C1011.001a    Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above",Interior Partitions,LF,100,LF 100,YES,0.00085,0.00105,0.00056,0.0012,0.001,0.0001,3E-05,0.0006,0.2,0.2,0.5,0.3,0.2,0.2,0.2,0.2
C.30.21.001a,C3021.001a    Generic Floor Covering - Flooding of floor caused by failure of pipe - Office - Dry,Ceramic tile flooring,SF,1,SF 1,NO,0.028,0.0705,0.0788,0.212,0.042,0.06,0.0024,0.16,0.8,0.6,0.7,0.4,0.7,0.2,0.4,0.3
C.30.11.002a,"C3011.002a    Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Fixed Above",Ceramic tile walls,LF,100,LF 100,YES,5.04E-05,0.0001269,0.00014184,0.0003816,7.56E-05,0.000108,4.32E-06,0.000288,0.8,0.6,0.7,0.4,0.7,0.2,0.2,0.3
C.30.27.001,"C3027.001    Raised Access Floor, non seismically rated.",Raised floor - if present,SF,1,SF 100,NO,,,,,0.75,,,,All Zero,All Zero,All Zero,All Zero,0.2,All Zero,All Zero,All Zero
C.30.32.001a,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only",Ceilings - Lay in Tile,SF,1,SF 250,NO,0.85,0.8,0.95,0,0.9,0.9,0.05,0.15,0,0,0,All Zero,0,0,0,0
C.30.32.001a,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only",Ceilings - Gypsum board,SF,1,SF 250,NO,0.05,0.08,0.03,0.95,0.05,0.03,0.05,0.7,0,0,0,0,0,0,0,0
C.30.32.001a,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only",Ceilings - Other,SF,1,SF 250,NO,0.08,0.08,0.02,0.05,0.03,0.02,0.9,0.08,0,0,0,0,0,0,0,0
C.30.32.001a,"C3032.001a    Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only",Ceilings - Other (high end),SF,1,SF 250,NO,0.02,0.04,0,0,0.02,0.05,0,0.07,0,0,All Zero,All Zero,0,0,All Zero,0
