Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
HSS,HSS22X22X.875,HSS22X22X7/8,F,244.88,67.3,–,–,22,19.6,–,–,–,22,19.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,24.1,–,24.1,–,4970,530,452,8.59,4970,530,452,8.59
HSS,HSS22X22X.750,HSS22X22X3/4,F,212,58.2,–,–,22,19.9,–,–,–,22,19.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,4350,462,395,8.65,4350,462,395,8.65
HSS,HSS20X20X.875,HSS20X20X7/8,F,221.06,60.8,–,–,20,17.6,–,–,–,20,17.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,21.6,–,21.6,–,3670,433,367,7.77,3670,433,367,7.77
HSS,HSS20X20X.750,HSS20X20X3/4,F,191.58,52.6,–,–,20,17.9,–,–,–,20,17.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,25.6,–,25.6,–,3230,378,323,7.84,3230,378,323,7.84
HSS,HSS20X20X.625,HSS20X20X5/8,F,161.4,44.3,–,–,20,18.3,–,–,–,20,18.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,2750,320,275,7.88,2750,320,275,7.88
HSS,HSS20X20X.500,HSS20X20X1/2,F,130.52,35.8,–,–,20,18.6,–,–,–,20,18.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,40,–,40,–,2260,261,226,7.95,2260,261,226,7.95
HSS,HSS18X18X.875,HSS18X18X7/8,F,197.24,54.3,–,–,18,15.6,–,–,–,18,15.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,19.2,–,19.2,–,2630,346,292,6.96,2630,346,292,6.96
HSS,HSS18X18X.750,HSS18X18X3/4,F,171.16,47.1,–,–,18,15.9,–,–,–,18,15.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,2320,302,258,7.02,2320,302,258,7.02
HSS,HSS18X18X.625,HSS18X18X5/8,F,144.39,39.6,–,–,18,16.3,–,–,–,18,16.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,28.1,–,28.1,–,1980,257,220,7.07,1980,257,220,7.07
HSS,HSS18X18X.500,HSS18X18X1/2,F,116.91,32.1,–,–,18,16.6,–,–,–,18,16.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,35.7,–,35.7,–,1630,210,181,7.13,1630,210,181,7.13
HSS,HSS16X16X.875,HSS16X16X7/8,F,173.43,47.7,–,–,16,13.6,–,–,–,16,13.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,16.7,–,16.7,–,1800,268,225,6.14,1800,268,225,6.14
HSS,HSS16X16X.750,HSS16X16X3/4,F,150.75,41.5,–,–,16,13.9,–,–,–,16,13.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,19.9,–,19.9,–,1590,235,199,6.19,1590,235,199,6.19
HSS,HSS16X16X.625,HSS16X16X5/8,F,127.37,35,–,–,16,14.3,–,–,–,16,14.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,24.5,–,24.5,–,1370,200,171,6.25,1370,200,171,6.25
HSS,HSS16X16X.500,HSS16X16X1/2,F,103.3,28.3,–,–,16,14.6,–,–,–,16,14.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,31.4,–,31.4,–,1130,164,141,6.31,1130,164,141,6.31
HSS,HSS16X16X.375,HSS16X16X3/8,F,78.52,21.5,–,–,16,15,–,–,–,16,15,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,42.8,–,42.8,–,873,126,109,6.37,873,126,109,6.37
HSS,HSS16X16X.313,HSS16X16X5/16,F,65.87,18.1,–,–,16,15.1,–,–,–,16,15.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,52,–,52,–,739,106,92.3,6.39,739,106,92.3,6.39
HSS,HSS14X14X.875,HSS14X14X7/8,F,149.61,41.2,–,–,14,11.6,–,–,–,14,11.6,–,–,–,–,–,–,–,0.875,0.814,–,–,–,–,–,–,–,–,–,–,14.3,–,14.3,–,1170,201,167,5.33,1170,201,167,5.33
HSS,HSS14X14X.750,HSS14X14X3/4,F,130.33,35.9,–,–,14,11.9,–,–,–,14,11.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,17,–,17,–,1040,177,149,5.38,1040,177,149,5.38
HSS,HSS14X14X.625,HSS14X14X5/8,F,110.36,30.3,–,–,14,12.3,–,–,–,14,12.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,21.1,–,21.1,–,897,151,128,5.44,897,151,128,5.44
HSS,HSS14X14X.500,HSS14X14X1/2,F,89.68,24.6,–,–,14,12.6,–,–,–,14,12.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,27.1,–,27.1,–,743,124,106,5.49,743,124,106,5.49
HSS,HSS14X14X.375,HSS14X14X3/8,F,68.31,18.7,–,–,14,13,–,–,–,14,13,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,37.1,–,37.1,–,577,95.4,82.5,5.55,577,95.4,82.5,5.55
HSS,HSS14X14X.313,HSS14X14X5/16,F,57.36,15.7,–,–,14,13.1,–,–,–,14,13.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,45.1,–,45.1,–,490,80.5,69.9,5.58,490,80.5,69.9,5.58
HSS,HSS12X12X.750,HSS12X12X3/4,F,109.91,30.3,–,–,12,9.91,–,–,–,12,9.91,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,631,127,105,4.56,631,127,105,4.56
HSS,HSS12X12X.625,HSS12X12X5/8,F,93.34,25.7,–,–,12,10.3,–,–,–,12,10.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,17.7,–,17.7,–,548,109,91.4,4.62,548,109,91.4,4.62
HSS,HSS12X12X.500,HSS12X12X1/2,F,76.07,20.9,–,–,12,10.6,–,–,–,12,10.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,457,89.6,76.2,4.68,457,89.6,76.2,4.68
HSS,HSS12X12X.375,HSS12X12X3/8,F,58.1,16,–,–,12,11,–,–,–,12,11,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,31.4,–,31.4,–,357,69.2,59.5,4.73,357,69.2,59.5,4.73
HSS,HSS12X12X.313,HSS12X12X5/16,F,48.86,13.4,–,–,12,11.1,–,–,–,12,11.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,38.2,–,38.2,–,304,58.6,50.7,4.76,304,58.6,50.7,4.76
HSS,HSS12X12X.250,HSS12X12X1/4,F,39.43,10.8,–,–,12,11.3,–,–,–,12,11.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,48.5,–,48.5,–,248,47.6,41.4,4.79,248,47.6,41.4,4.79
HSS,HSS12X12X.188,HSS12X12X3/16,F,29.84,8.15,–,–,12,11.5,–,–,–,12,11.5,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,66,–,66,–,189,36,31.5,4.82,189,36,31.5,4.82
HSS,HSS10X10X.750,HSS10X10X3/4,T,89.5,24.7,–,–,10,7.91,–,–,–,10,7.91,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,11.3,–,11.3,–,347,84.7,69.4,3.75,347,84.7,69.4,3.75
HSS,HSS10X10X.625,HSS10X10X5/8,F,76.33,21,–,–,10,8.26,–,–,–,10,8.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,304,73.2,60.8,3.8,304,73.2,60.8,3.8
HSS,HSS10X10X.500,HSS10X10X1/2,F,62.46,17.2,–,–,10,8.6,–,–,–,10,8.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,18.5,–,18.5,–,256,60.7,51.2,3.86,256,60.7,51.2,3.86
HSS,HSS10X10X.375,HSS10X10X3/8,F,47.9,13.2,–,–,10,8.95,–,–,–,10,8.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,25.7,–,25.7,–,202,47.2,40.4,3.92,202,47.2,40.4,3.92
HSS,HSS10X10X.313,HSS10X10X5/16,F,40.35,11.1,–,–,10,9.13,–,–,–,10,9.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,31.4,–,31.4,–,172,40.1,34.5,3.94,172,40.1,34.5,3.94
HSS,HSS10X10X.250,HSS10X10X1/4,F,32.63,8.96,–,–,10,9.3,–,–,–,10,9.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,39.9,–,39.9,–,141,32.7,28.3,3.97,141,32.7,28.3,3.97
HSS,HSS10X10X.188,HSS10X10X3/16,F,24.73,6.76,–,–,10,9.48,–,–,–,10,9.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,54.5,–,54.5,–,108,24.8,21.6,4,108,24.8,21.6,4
HSS,HSS9X9X.625,HSS9X9X5/8,F,67.82,18.7,–,–,9,7.26,–,–,–,9,7.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,12.5,–,12.5,–,216,58.1,47.9,3.4,216,58.1,47.9,3.4
HSS,HSS9X9X.500,HSS9X9X1/2,F,55.66,15.3,–,–,9,7.6,–,–,–,9,7.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,183,48.4,40.6,3.45,183,48.4,40.6,3.45
HSS,HSS9X9X.375,HSS9X9X3/8,F,42.79,11.8,–,–,9,7.95,–,–,–,9,7.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,145,37.8,32.2,3.51,145,37.8,32.2,3.51
HSS,HSS9X9X.313,HSS9X9X5/16,F,36.1,9.92,–,–,9,8.13,–,–,–,9,8.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,27.9,–,27.9,–,124,32.1,27.6,3.54,124,32.1,27.6,3.54
HSS,HSS9X9X.250,HSS9X9X1/4,F,29.23,8.03,–,–,9,8.3,–,–,–,9,8.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,35.6,–,35.6,–,102,26.2,22.7,3.56,102,26.2,22.7,3.56
HSS,HSS9X9X.188,HSS9X9X3/16,F,22.18,6.06,–,–,9,8.48,–,–,–,9,8.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,48.7,–,48.7,–,78.2,20,17.4,3.59,78.2,20,17.4,3.59
HSS,HSS9X9X.125,HSS9X9X1/8,F,14.96,4.09,–,–,9,8.65,–,–,–,9,8.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,74.6,–,74.6,–,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62
