S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed,collapsed,serviceFailure,Bm,DesignDm,earthquakeDm,gapRatio,Ss,Tshort
1.021104444,3.330817955,0.149402038,0.029800633,26.62907237,0.631314739,0.573861024,RSN294_ITALY_A-TRC000,18.11250365,0.070898215,0.070898215,71.8984954,71.8984954,W30X90,W21X50,W14X283,15.58791687,0.861924637,1.776007556,3.832976957,0.57494375,0.266399839,0.603246671,1.319153383,0.633354797,0.305441276,0.296909726,16.521,0.009496154,0.012688462,0.015916667,1.825367495,1.033980331,0.894257246,1.09801501,51.5004,36.7977,44.9823,53.8656,0,0,0,0,0,0,1,1,1,0.000775641,0.001589679,0.002752628,0,1,1,0,0,-1,-1,1.348206115,24.69119743,23.91372923,0.651839649,2.2815,0.44755838
1.029922353,2.758190231,0.111117955,0.025768391,32.03739424,1.265556319,1.741350329,RSN3947_TOTTORI_SMNH01NS,5.154133836,0.153073523,0.153073523,48.05609135,48.05609135,W24X68,W18X40,W14X159,28.52987435,1.209230837,2.333338876,3.133650299,0.441394246,0.328665376,0.608456102,1.017005442,0.425489613,0.307074405,0.325113302,23.8989,0.012195513,0.014970513,0.010594231,0.965652174,0.352210145,0.413436853,0.400833333,73.8233,77.6712,76.4994,76.2436,0,0,0,0,0,0,1,1,1,0.001356186,0.001082615,0.000679359,0,0,0,0,0,-1,-1,1.233353864,22.54334629,19.62785554,1.453540062,2.2815,0.451423341
1.252042166,2.542428793,0.152960955,0.062113565,20.01153593,1.464210694,1.544488181,RSN1005_NORTHR_TEM090,8.626973831,0.114600733,0.114600733,42.02422546,42.02422546,W24X76,W21X50,W14X176,33.57118622,1.116845132,1.368514466,2.930395011,0.914891437,0.427260544,0.739679738,0.934124413,1.013110511,0.302844114,0.393075207,11.4172,0.007881731,0.010913333,0.008332692,1.492580228,0.323638716,0.351444099,0.406187888,49.7024,46.4428,52.2001,55.7793,0,0,0,0,0,0,1,1,1,1.23E-05,5.90E-06,0.000172724,0,0,0,0,0,-1,-1,1.358882864,22.92783843,18.30073816,1.834417057,2.2815,0.548780261
1.216157586,3.230350469,0.18072257,0.071155196,20.3786123,1.622712376,0.588194282,RSN15_KERN_TAF021,7.767333762,0.075337004,0.075337004,71.32514305,71.32514305,W30X99,W21X55,W14X311,43.26559269,0.814908446,0.480774551,3.817663388,2.529579784,0.318560717,0.718479895,1.374677487,2.914475962,0.219142346,0.310227841,15.1709,0.003779808,0.005252949,0.007096474,1.95922619,0.428856108,0.436521739,0.618408385,48.8597,48.5637,48.0022,52.9264,0,0,0,0,0,0,0,0,1,0.000205064,0.000275878,0.000147699,0,0,0,0,0,-1,-1,1.442167711,26.66251476,21.97058741,1.969250611,2.2815,0.533051758
1.113695642,3.487902305,0.113394801,0.026668925,28.02585085,0.718972702,0.781064659,RSN3979_SANSIMEO_37737090,9.682579683,0.059878022,0.059878022,72.86721221,72.86721221,W27X84,W21X44,W14X233,22.04115506,0.968020328,1.782175725,3.858712168,0.624907873,0.28861848,0.65794757,1.487330414,0.436103202,0.32820126,0.314759607,23.3648,0.023774359,0.017875,0.025748718,2.747515528,1.148574017,1.569836957,1.591583851,85.1638,84.3638,86.0748,87.4642,0,0,0,0,0,1,1,1,1,0.012420833,0.009364936,0.009327949,1,1,1,0,0,-1,1,1.240184402,30.65645609,30.22029745,0.729349375,2.2815,0.488141855
0.89978251,3.43869022,0.125991067,0.013560863,35.75983154,0.589392667,1.372485799,RSN1541_CHICHI_TCU116-E,2.089896002,0.077348158,0.077348158,75.09564623,75.09564623,W24X55,W21X44,W14X120,13.9666086,1.387456754,2.454800171,3.917271626,0.366540022,0.229696226,0.531572266,1.244924716,0.444386781,0.276269115,0.313551106,15.3696,0.038919872,0.030530128,0.031155128,3.105331263,1.249642857,1.02801501,1.022456004,39.2155,41.6404,43.8934,51.3165,0,0,0,1,1,1,1,1,1,0.007561538,0.005433846,0.001422179,1,1,1,0,0,-1,1,1.2779732,23.69661076,28.39553647,0.491859297,2.2815,0.39438199
1.248153602,3.913784451,0.124024857,0.017028961,36.54508461,0.801425378,0.527083707,RSN1005_NORTHR_TEM090,8.600180372,0.075344718,0.075344718,95.01721997,95.01721997,W30X99,W21X50,W14X311,30.1226266,0.820290856,2.404126669,4.406334543,0.519171314,0.283263468,0.737382458,0.931223231,0.365333874,0.282377031,0.352487265,19.7902,0.001922436,0.002797436,0.002746154,0.448871636,0.121923654,0.142384317,0.22546765,45.0943,46.8429,49.268,51.1134,0,0,0,0,0,0,0,0,0,1.44E-05,8.21E-06,0.000160128,0,0,0,0,0,-1,-1,1.272074571,37.58631487,41.543401,0.725088122,2.2815,0.547075872
1.168590566,2.585147261,0.16336451,0.064373519,32.4456385,1.714379217,1.020774139,RSN779_LOMAP_LGP000,0.948397678,0.157747301,0.157747301,45.42389389,45.42389389,W27X84,W21X44,W14X211,36.46598217,0.993685274,1.981006839,3.046621395,0.58989729,0.383569343,0.690378317,0.992901239,0.612545945,0.44257933,0.41483105,20.8086,0.007533333,0.009909615,0.008070513,0.896915114,0.353835404,0.353530021,0.426661491,53.4259,53.1505,51.715,55.6664,0,0,0,0,0,0,1,1,1,5.06E-06,1.17E-05,0.000175577,0,0,0,0,0,-1,-1,1.39009353,21.27066276,19.51979215,1.868154225,2.2815,0.512202746
1.234579744,3.648595413,0.195848756,0.060775838,31.42402208,1.644869777,0.83071319,RSN4040_BAM_BAM-L,1.403554503,0.075023659,0.075023659,94.27206625,94.27206625,W24X84,W21X44,W14X211,48.75097142,1.040306372,1.104287866,4.389022632,1.11798724,0.281288079,0.729363313,1.486685632,1.509154323,0.145673501,0.225150779,29.4004,0.004632692,0.006653846,0.006273077,1.348757764,0.261863354,0.267142857,0.293884576,80.1427,78.8096,76.5565,74.5082,0,0,0,0,0,0,0,0,0,0.000284897,0.000473327,6.42E-05,0,0,0,0,0,-1,-1,1.487546269,29.63819514,19.72112875,2.472017299,2.2815,0.54112634
1.187321813,3.098076684,0.174632767,0.050573715,34.86866028,0.906717307,1.363737865,RSN82_SFERN_PHN180,15.29491754,0.109159055,0.109159055,66.25045452,66.25045452,W24X68,W21X44,W14X159,22.9261392,1.194308717,1.955503213,3.679346917,0.607169451,0.322699066,0.701444337,0.886387427,0.780986983,0.591020556,0.626263145,24.9052,0.05983141,0.039401282,0.037352564,4.601086957,1.293240166,0.861625259,1.12621118,60.9223,60.6236,64.3084,68.7252,1,0,0,1,1,1,1,1,1,0.050926756,0.027775256,0.023067949,1,1,1,0,0,1,1,1.4238983,25.28477069,41.31802852,0.554870114,2.2815,0.520412804
